ID_Number ,plot_no,treatment,plot_rep,matrix_no,species_code,species,root_diam_0,root_diam_30,root_tip_no,nodules,nodule_count,nodule_wt,fine_root_weight,AG_wt,BG_wt,Course_root_wt,Total_wt,comments,ratio,test
533,h4_3,4m,3,a5,si,VS,15.38,15.71,28,TRUE,136,1.28,3.218,55.63,53.368,50.15,108.998,,1.04238495,0
546,h4_3,4m,3,c6,si,VS,4.28,4.23,7,TRUE,11,0.032,0.756,1.96,5.656,4.9,7.616,,0.346534653,0
562,h4_3,4m,3,f4,si,VS,11.71,8.89,18,TRUE,62,0.428,1.232,11.81,22.662,21.43,34.472,,0.521136705,0
578,h4_3,4m,3,i3,si,VS,15.65,22.31,17,TRUE,69,0.242,10.831,102.88,85.571,74.74,188.451,,1.202276472,0
599,h5_1,C,1,d1,si,VS,9.07,11.72,12,TRUE,3,0.004,0.934,26.98,48.054,47.12,75.034,,0.5614517,0
609,h5_1,C,1,e5,si,VS,14.71,15.76,41,TRUE,39,0.135,2.268,90.44,27.348,25.08,117.788,,3.307005997,0
614,h5_1,C,1,f4,si,VS,11.27,12.9,15,TRUE,17,0.072,1.721,21.7,6.001,4.28,27.701,,3.616063989,0
627,h5_1,C,1,h5,si,VS,9.59,3.33,15,TRUE,2,0.001,2.523,43.43,64.813,62.29,108.243,,0.670081619,0
629,h5_2,C,2,a1,si,VS,1.37,0.76,3,FALSE,0,0,0.684,0.99,50.674,49.99,51.664,,0.019536646,0
639,h5_2,C,2,b5,si,VS,21.65,16.45,35,TRUE,10,0.238,4.092,126.1,188.652,184.56,314.752,,0.668426521,0
654,h5_2,C,2,e2,si,VS,2.99,1.98,1,FALSE,5,0.049,0.588,1.4,4.088,3.5,5.488,,0.342465753,0
664,h5_2,C,2,f6,si,VS,7.51,10.23,17,TRUE,26,0.035,3.627,36.49,42.007,38.38,78.497,,0.868664746,0
690,h5_3,C,3,c2,si,VS,11.96,9.29,7,TRUE,37,0.1,5.731,50.72,83.741,78.01,134.461,,0.605677028,0
711,h5_3,C,3,f5,si,VS,25.06,16.69,12,TRUE,30,0.08,1.327,63.37,125.837,124.51,189.207,,0.503587975,0
712,h5_3,C,3,f6,si,VS,11.05,13.87,9,TRUE,17,0.035,1.718,41.78,48.718,47,90.498,,0.857588571,0
298,h3_1,3m,1,b4,ex,VS,6.42,9.09,3,FALSE,0,0,1.649,8.78,28.009,26.36,36.789,,0.31347067,0
