Harvest ,Species,Treatment ,Tag,Pot,Leaves_DW ,Stem_DW,AG_DW,BG_DW,Nodule,Nodules_W,Nodules_Present,Height ,R_S
3,VS,16%,H3VS16,67,0.546,0.38,0.926,0.725,96,0.024,TRUE,264,0.782937365
3,VS,16%,H3VS16,76,0.14,0.164,0.304,0.549,57,0.022,TRUE,205,1.805921053
3,VS,16%,H3VS16,85,0.231,0.264,0.495,0.318,49,0.025,TRUE,216,0.642424242
3,VS,16%,H3VS16,86,0.229,0.273,0.502,0.381,107,0.035,TRUE,230,0.758964143
3,VS,16%,H3VS16,91,0.32,0.27,0.59,0.386,20,0.012,TRUE,253,0.654237288
3,VS,16%,H3VS16,97,0.248,0.134,0.382,0.228,42,0.016,TRUE,195,0.596858639
3,VS,16%,H3VS16,98,0.218,0.297,0.515,0.477,36,0.012,TRUE,275,0.926213592
3,VS,16%,H3VS16,99,0.2,0.311,0.511,0.465,53,0.05,TRUE,284,0.909980431
3,VS,16%,H3VS16,105,0.379,0.269,0.648,0.542,50,0.025,TRUE,268,0.836419753
3,VS,16%,H3VS16,110,0.215,0.232,0.447,0.301,34,0.011,TRUE,235,0.673378076
3,VS,16%,H3VS16,116,0.25,0.265,0.515,0.38,17,0.007,TRUE,254,0.737864078
3,VS,16%,H3VS16,119,0.307,0.272,0.579,0.388,0,0,FALSE,249,0.670120898
