number,species,lat,long
1,V. sieberiana,15.78057,-4.20287
1,V. sieberiana,9.283333,-4.2
1,V. sieberiana,10.666667,-4.2
1,V. sieberiana,9.266667,-4.183333
1,V. sieberiana,9.266667,-4.183333
1,V. sieberiana,9.266667,-4.166667
1,V. sieberiana,9.283333,-4.166667
1,V. sieberiana,11.016667,-4.166667
1,V. sieberiana,11.033333,-4.166667
1,V. sieberiana,11.116667,-4.166667
1,V. sieberiana,11.116667,-4.166667
1,V. sieberiana,11.116667,-4.166667
1,V. sieberiana,11.116667,-4.166667
1,V. sieberiana,11.116667,-4.166667
1,V. sieberiana,11.133333,-4.166667
1,V. sieberiana,11.133333,-4.166667
1,V. sieberiana,11.133333,-4.166667
1,V. sieberiana,11.133333,-4.166667
1,V. sieberiana,11.533333,-4.166667
1,V. sieberiana,11.557083,-4.150883
1,V. sieberiana,11.75,-4.15
1,V. sieberiana,12.73333,-4.13333
1,V. sieberiana,10.916667,-4.083333
1,V. sieberiana,10.933333,-4.083333
1,V. sieberiana,11.866667,-4.083333
1,V. sieberiana,11.5,-4
1,V. sieberiana,17.57069,-3.99617
1,V. sieberiana,5.26585,-3.93579
1,V. sieberiana,8.7,-3.85
1,V. sieberiana,8.716667,-3.85
1,V. sieberiana,8.733333,-3.833333
1,V. sieberiana,8.733333,-3.833333
1,V. sieberiana,8.733333,-3.816667
1,V. sieberiana,8.733333,-3.816667
1,V. sieberiana,8.733333,-3.816667
1,V. sieberiana,8.733333,-3.816667
1,V. sieberiana,8.733333,-3.816667
1,V. sieberiana,8.75,-3.816667
1,V. sieberiana,8.733333,-3.8
1,V. sieberiana,8.75,-3.8
1,V. sieberiana,12.4,-3.8
1,V. sieberiana,8.666667,-3.783333
1,V. sieberiana,8.666667,-3.783333
1,V. sieberiana,8.666667,-3.783333
1,V. sieberiana,8.65383,-3.78288
1,V. sieberiana,12.35,-3.683333
1,V. sieberiana,9.19186,-3.52722
1,V. sieberiana,14.332361,-3.413694
1,V. sieberiana,14.332361,-3.413694
1,V. sieberiana,14.332361,-3.413694
1,V. sieberiana,14.332361,-3.413694
1,V. sieberiana,14.332361,-3.413694
1,V. sieberiana,14.46379,-3.30616
1,V. sieberiana,14.51217,-3.27609
1,V. sieberiana,10.083333,-3.266667
1,V. sieberiana,9.27166,-2.99256
1,V. sieberiana,8.711235,-2.985352
1,V. sieberiana,11.75,-2.933
1,V. sieberiana,10.65,-2.866667
1,V. sieberiana,11.016667,-2.783333
1,V. sieberiana,13.45,-2.55
1,V. sieberiana,10.39,-2.52
1,V. sieberiana,13.066667,-2.433333
1,V. sieberiana,8.166667,-2.366667
1,V. sieberiana,13.483333,-2.333333
1,V. sieberiana,8.153333,-2.3
1,V. sieberiana,8.153333,-2.3
1,V. sieberiana,13.65,-2.3
1,V. sieberiana,8.25,-2.27
1,V. sieberiana,11.421944,-2.261111
1,V. sieberiana,8.1,-2.22
1,V. sieberiana,11.45,-2.216667
1,V. sieberiana,7.875,-2.125
1,V. sieberiana,7.875,-2.125
1,V. sieberiana,11.26667,-2.1
1,V. sieberiana,11.26667,-2.1
1,V. sieberiana,7.92,-2.07
1,V. sieberiana,7.98333,-2.06667
1,V. sieberiana,7.98333,-2.06667
1,V. sieberiana,7.983333,-2.066667
1,V. sieberiana,7.983333,-2.066667
1,V. sieberiana,7.91666,-2.06666
1,V. sieberiana,11.233333,-2.033333
1,V. sieberiana,8.15333,-2.03
1,V. sieberiana,8.15333,-2.03
1,V. sieberiana,8.153333,-2.03
1,V. sieberiana,8.153333,-2.03
1,V. sieberiana,8.15056,-2.01889
1,V. sieberiana,11.566667,-2.016667
1,V. sieberiana,8,-2
1,V. sieberiana,11.15,-1.95
1,V. sieberiana,11.15,-1.95
1,V. sieberiana,11.283333,-1.95
1,V. sieberiana,10.917883,-1.930667
1,V. sieberiana,11.33333,-1.91667
1,V. sieberiana,11.133333,-1.916667
1,V. sieberiana,11.55,-1.916667
1,V. sieberiana,11.083333,-1.9
1,V. sieberiana,11.3,-1.9
1,V. sieberiana,11.3,-1.883333
1,V. sieberiana,11.333333,-1.883333
1,V. sieberiana,11.383333,-1.883333
1,V. sieberiana,11.3125,-1.87722
1,V. sieberiana,9.22,-1.87
1,V. sieberiana,8,-1.73333
1,V. sieberiana,8,-1.73
1,V. sieberiana,8.021667,-1.73
1,V. sieberiana,8.02167,-1.73
1,V. sieberiana,8.02167,-1.73
1,V. sieberiana,8.216667,-1.73
1,V. sieberiana,12.37143,-1.51966
1,V. sieberiana,12.367,-1.517
1,V. sieberiana,12.367,-1.517
1,V. sieberiana,12.367,-1.517
1,V. sieberiana,12.367,-1.517
1,V. sieberiana,12.39096,-1.49667
1,V. sieberiana,12.387599,-1.494737
1,V. sieberiana,11.05,-1.417
1,V. sieberiana,11.05,-1.417
1,V. sieberiana,11.05,-1.417
1,V. sieberiana,11.05,-1.417
1,V. sieberiana,5.083333,-1.35
1,V. sieberiana,15.816667,-1.283333
1,V. sieberiana,10.89403,-1.09215
1,V. sieberiana,10.89403,-1.09215
1,V. sieberiana,11.666667,-1.083333
1,V. sieberiana,10.55073,-1.05584
1,V. sieberiana,11.1,-0.983333
1,V. sieberiana,10.583333,-0.833333
1,V. sieberiana,11.9,-0.833333
1,V. sieberiana,9.7165,-0.822167
1,V. sieberiana,9.683333,-0.816667
1,V. sieberiana,9.683333,-0.816667
1,V. sieberiana,11.916667,-0.816667
1,V. sieberiana,13.216667,-0.8
1,V. sieberiana,15,-0.783333
1,V. sieberiana,11.94465,-0.77348
1,V. sieberiana,11.916667,-0.766667
1,V. sieberiana,11.15162,-0.66055
1,V. sieberiana,11.15,-0.65
1,V. sieberiana,14.916667,-0.65
1,V. sieberiana,11.18656,-0.63226
1,V. sieberiana,11.18656,-0.63226
1,V. sieberiana,9.0395,-0.503833
1,V. sieberiana,10.35,-0.5
1,V. sieberiana,13.366667,-0.483333
1,V. sieberiana,14.333333,-0.466667
1,V. sieberiana,10.58333,-0.45
1,V. sieberiana,10.583333,-0.45
1,V. sieberiana,14.333333,-0.433333
1,V. sieberiana,14.333333,-0.416667
1,V. sieberiana,14.333333,-0.416667
1,V. sieberiana,14.333333,-0.416667
1,V. sieberiana,14.333333,-0.416667
1,V. sieberiana,14.35,-0.383333
1,V. sieberiana,11.783,-0.367
1,V. sieberiana,11.416667,-0.366667
1,V. sieberiana,11.516667,-0.366667
1,V. sieberiana,14.25,-0.366667
1,V. sieberiana,14.45,-0.366667
1,V. sieberiana,11.45,-0.35
1,V. sieberiana,11.466667,-0.35
1,V. sieberiana,11.7,-0.35
1,V. sieberiana,11.3,-0.333333
1,V. sieberiana,11.7,-0.333333
1,V. sieberiana,11.7,-0.333333
1,V. sieberiana,11.633,-0.333
1,V. sieberiana,11.7,-0.333
1,V. sieberiana,11.7,-0.333
1,V. sieberiana,11.75,-0.333
1,V. sieberiana,11.9,-0.316667
1,V. sieberiana,14.366667,-0.316667
1,V. sieberiana,11.7,-0.316
1,V. sieberiana,14.316667,-0.3
1,V. sieberiana,14.383333,-0.3
1,V. sieberiana,14.4,-0.3
1,V. sieberiana,14.4,-0.3
1,V. sieberiana,14.4,-0.3
1,V. sieberiana,11.233333,-0.283333
1,V. sieberiana,11.466667,-0.283333
1,V. sieberiana,14.366667,-0.283333
1,V. sieberiana,14.366,-0.283
1,V. sieberiana,11.166667,-0.266667
1,V. sieberiana,11.383333,-0.266667
1,V. sieberiana,11.416667,-0.266667
1,V. sieberiana,5.616667,-0.233333
1,V. sieberiana,14.283333,-0.216667
1,V. sieberiana,11.266667,-0.2
1,V. sieberiana,11.933333,-0.166667
1,V. sieberiana,12.7,-0.166667
1,V. sieberiana,11.683333,-0.116667
1,V. sieberiana,11.655167,-0.110917
1,V. sieberiana,12.283333,-0.083333
1,V. sieberiana,14.02465,-0.02332
1,V. sieberiana,6.033333,0.016667
1,V. sieberiana,11.716667,0.033333
1,V. sieberiana,11.783333,0.033333
1,V. sieberiana,11.50775,0.05132
1,V. sieberiana,11.50775,0.05132
1,V. sieberiana,11.03931,0.06655
1,V. sieberiana,11.733333,0.066667
1,V. sieberiana,12.166667,0.083333
1,V. sieberiana,11.8,0.1
1,V. sieberiana,11.85,0.1
1,V. sieberiana,10.8,0.116667
1,V. sieberiana,10.8,0.116667
1,V. sieberiana,10.816667,0.116667
1,V. sieberiana,11.716667,0.116667
1,V. sieberiana,14.25,0.116667
1,V. sieberiana,10.816667,0.133333
1,V. sieberiana,10.9,0.133333
1,V. sieberiana,10.9,0.133333
1,V. sieberiana,10.933333,0.133333
1,V. sieberiana,10.933333,0.133333
1,V. sieberiana,5.37,0.14
1,V. sieberiana,11.766667,0.15
1,V. sieberiana,11.85,0.15
1,V. sieberiana,11.17216,0.16418
1,V. sieberiana,12.105933,0.177917
1,V. sieberiana,11.8,0.183333
1,V. sieberiana,11.75,0.216667
1,V. sieberiana,10.883333,0.233333
1,V. sieberiana,10.9,0.233333
1,V. sieberiana,10.9,0.233333
1,V. sieberiana,10.883333,0.25
1,V. sieberiana,10.35,0.27
1,V. sieberiana,10.566667,0.3
1,V. sieberiana,9.237,0.3023
1,V. sieberiana,10.966667,0.316667
1,V. sieberiana,10.95,0.333333
1,V. sieberiana,10.966667,0.333333
1,V. sieberiana,10.983333,0.333333
1,V. sieberiana,12.066667,0.35
1,V. sieberiana,12.0667,0.35
1,V. sieberiana,12.0667,0.35
1,V. sieberiana,12.0667,0.35
1,V. sieberiana,12.0667,0.35
1,V. sieberiana,12.0667,0.35
1,V. sieberiana,12.0667,0.35
1,V. sieberiana,12.0667,0.35
1,V. sieberiana,10.5,0.366667
1,V. sieberiana,11.87341,0.37442
1,V. sieberiana,11.87252,0.37535
1,V. sieberiana,11.87252,0.37535
1,V. sieberiana,11.87252,0.37535
1,V. sieberiana,11.87252,0.37535
1,V. sieberiana,11.933333,0.383333
1,V. sieberiana,11.9367,0.3983
1,V. sieberiana,10.433333,0.4
1,V. sieberiana,10.633333,0.45
1,V. sieberiana,12.05,0.45
1,V. sieberiana,10.35,0.466667
1,V. sieberiana,10.466667,0.466667
1,V. sieberiana,10.55,0.466667
1,V. sieberiana,10.133333,0.483333
1,V. sieberiana,9.41,0.49
1,V. sieberiana,9.41,0.49
1,V. sieberiana,9.4299,0.4933
1,V. sieberiana,10.3,0.5
1,V. sieberiana,10.3,0.5
1,V. sieberiana,10.666667,0.516667
1,V. sieberiana,11.733333,0.516667
1,V. sieberiana,12.016667,0.516667
1,V. sieberiana,11.64286,0.51932
1,V. sieberiana,11.63836,0.52119
1,V. sieberiana,10.616667,0.533333
1,V. sieberiana,12.016667,0.55
1,V. sieberiana,6.929957,0.586312
1,V. sieberiana,15.32477,0.74545
1,V. sieberiana,15.32212,0.74734
1,V. sieberiana,10.15,0.75
1,V. sieberiana,11.25,0.75
1,V. sieberiana,10.2,0.8
1,V. sieberiana,10.2,0.8
1,V. sieberiana,10.15,0.816667
1,V. sieberiana,10.30656,0.90129
1,V. sieberiana,10.566775,0.97038
1,V. sieberiana,11.018865,0.977924
1,V. sieberiana,11.01956,0.978001
1,V. sieberiana,11.044517,0.984404
1,V. sieberiana,11.057017,0.996904
1,V. sieberiana,11.033333,1
1,V. sieberiana,11.033333,1
1,V. sieberiana,10.479424,1.012294
1,V. sieberiana,10.98598,1.03577
1,V. sieberiana,10.98662,1.03766
1,V. sieberiana,9.515556,1.04
1,V. sieberiana,10.98632,1.04574
1,V. sieberiana,10.18532,1.09215
1,V. sieberiana,10.35,1.116
1,V. sieberiana,10.35,1.1166
1,V. sieberiana,10.35,1.116667
1,V. sieberiana,10.35,1.116667
1,V. sieberiana,10.8077,1.1419
1,V. sieberiana,11.166667,1.15
1,V. sieberiana,11.166667,1.166667
1,V. sieberiana,11.24791,1.16819
1,V. sieberiana,10.70535,1.17092
1,V. sieberiana,10.70554,1.1715
1,V. sieberiana,10.5791,1.17261
1,V. sieberiana,11.2495,1.17293
1,V. sieberiana,11.24996,1.17427
1,V. sieberiana,10.70659,1.17462
1,V. sieberiana,10.70707,1.17604
1,V. sieberiana,11.25077,1.17671
1,V. sieberiana,11.25096,1.17726
1,V. sieberiana,11.25116,1.17786
1,V. sieberiana,10.84105,1.17941
1,V. sieberiana,11.25189,1.18003
1,V. sieberiana,10.866667,1.183333
1,V. sieberiana,10.97903,1.18571
1,V. sieberiana,9.246058,1.192972
1,V. sieberiana,9.24604,1.192991
1,V. sieberiana,10.175,1.203333
1,V. sieberiana,10.175,1.203333
1,V. sieberiana,5.05,1.21
1,V. sieberiana,10.6166,1.2666
1,V. sieberiana,10.613418,1.280676
1,V. sieberiana,10.613418,1.280676
1,V. sieberiana,1.063,1.283
1,V. sieberiana,10.633333,1.283333
1,V. sieberiana,13.3545,1.28346
1,V. sieberiana,11.25998,1.3121
1,V. sieberiana,10.84344,1.3124
1,V. sieberiana,10.84431,1.31497
1,V. sieberiana,10.9805,1.31596
1,V. sieberiana,10.98755,1.319
1,V. sieberiana,10.70698,1.31958
1,V. sieberiana,10.85302,1.32294
1,V. sieberiana,10.698671,1.323329
1,V. sieberiana,10.330121,1.33047
1,V. sieberiana,10.330468,1.332896
1,V. sieberiana,10.333333,1.33667
1,V. sieberiana,10.884285,1.336675
1,V. sieberiana,10.237617,1.343
1,V. sieberiana,10.24005,1.346917
1,V. sieberiana,10.883333,1.35
1,V. sieberiana,10.883333,1.35
1,V. sieberiana,10.24135,1.350867
1,V. sieberiana,10.24135,1.350867
1,V. sieberiana,10.270341,1.355343
1,V. sieberiana,10.270341,1.355343
1,V. sieberiana,10.865,1.355556
1,V. sieberiana,10.865,1.355556
1,V. sieberiana,11.310125,1.355628
1,V. sieberiana,11.310125,1.355628
1,V. sieberiana,11.310125,1.355628
1,V. sieberiana,11.310125,1.355628
1,V. sieberiana,10.220334,1.358417
1,V. sieberiana,10.220334,1.358417
1,V. sieberiana,10.724858,1.365609
1,V. sieberiana,10.757918,1.374718
1,V. sieberiana,10.5,1.383333
1,V. sieberiana,10.62492,1.393211
1,V. sieberiana,7.4,1.4
1,V. sieberiana,7.4,1.4
1,V. sieberiana,10.766667,1.4
1,V. sieberiana,10.85,1.4
1,V. sieberiana,10.8166,1.4333
1,V. sieberiana,10.84262,1.44497
1,V. sieberiana,11.11504,1.44715
1,V. sieberiana,10.71755,1.45009
1,V. sieberiana,11.11668,1.45203
1,V. sieberiana,10.98105,1.45268
1,V. sieberiana,11.1173,1.45389
1,V. sieberiana,10.424287,1.453959
1,V. sieberiana,11.11517,1.45655
1,V. sieberiana,10.98007,1.45876
1,V. sieberiana,10.71857,1.46216
1,V. sieberiana,11.45,1.466
1,V. sieberiana,11.45,1.466667
1,V. sieberiana,11.583,1.467
1,V. sieberiana,10.916667,1.483333
1,V. sieberiana,10.881667,1.488889
1,V. sieberiana,10.881667,1.488889
1,V. sieberiana,10.875972,1.49318
1,V. sieberiana,10.875972,1.49318
1,V. sieberiana,10.463903,1.494815
1,V. sieberiana,10.916667,1.5
1,V. sieberiana,10.916667,1.5
1,V. sieberiana,10.95,1.5
1,V. sieberiana,10.894167,1.501389
1,V. sieberiana,10.894167,1.501389
1,V. sieberiana,10.069883,1.50155
1,V. sieberiana,10.069883,1.50155
1,V. sieberiana,11.05,1.516667
1,V. sieberiana,9.312646,1.51729
1,V. sieberiana,10.03155,1.52595
1,V. sieberiana,10.03155,1.52595
1,V. sieberiana,9.789382,1.526739
1,V. sieberiana,9.315356,1.527246
1,V. sieberiana,9.908127,1.528995
1,V. sieberiana,14.1186,1.53397
1,V. sieberiana,9.245727,1.542395
1,V. sieberiana,9.353977,1.545957
1,V. sieberiana,10.883333,1.55
1,V. sieberiana,9.267468,1.55109
1,V. sieberiana,10.97174,1.55884
1,V. sieberiana,9.750156,1.560715
1,V. sieberiana,11.402754,1.562384
1,V. sieberiana,9.317835,1.562798
1,V. sieberiana,11.467778,1.564167
1,V. sieberiana,9.792919,1.574056
1,V. sieberiana,11.066667,1.583333
1,V. sieberiana,10.9892,1.58523
1,V. sieberiana,9.261272,1.585955
1,V. sieberiana,10.98946,1.58603
1,V. sieberiana,11.25978,1.591
1,V. sieberiana,9.279823,1.592392
1,V. sieberiana,9.686748,1.592618
1,V. sieberiana,11.26116,1.59514
1,V. sieberiana,8.1,1.6
1,V. sieberiana,8.1,1.6
1,V. sieberiana,6.91211,1.60389
1,V. sieberiana,7.35,1.6333
1,V. sieberiana,7.333333,1.633333
1,V. sieberiana,9.991283,1.635233
1,V. sieberiana,9.990833,1.635383
1,V. sieberiana,9.622013,1.640369
1,V. sieberiana,11.400806,1.646917
1,V. sieberiana,11.401139,1.648278
1,V. sieberiana,11.400361,1.649778
1,V. sieberiana,11.397806,1.650222
1,V. sieberiana,11.40025,1.651278
1,V. sieberiana,11.398139,1.651667
1,V. sieberiana,11.399361,1.652528
1,V. sieberiana,10.984105,1.66639
1,V. sieberiana,12.966667,1.666667
1,V. sieberiana,9.353977,1.673502
1,V. sieberiana,8.68781,1.68394
1,V. sieberiana,8.616667,1.716667
1,V. sieberiana,8.616667,1.716667
1,V. sieberiana,8.616667,1.716667
1,V. sieberiana,11.39566,1.71766
1,V. sieberiana,8.84995,1.71948
1,V. sieberiana,11.3966,1.72046
1,V. sieberiana,11.39678,1.72101
1,V. sieberiana,10.30179,1.72287
1,V. sieberiana,11.39772,1.72384
1,V. sieberiana,11.39842,1.72593
1,V. sieberiana,8.72806,1.72885
1,V. sieberiana,11.39712,1.73108
1,V. sieberiana,11.11674,1.73204
1,V. sieberiana,7.19084,1.73291
1,V. sieberiana,7.19094,1.73321
1,V. sieberiana,7.19098,1.73334
1,V. sieberiana,11.11722,1.73346
1,V. sieberiana,11.11742,1.73407
