Lat,Long
-33.875,18.375
-32.875,18.875
-32.875,18.875
-32.875,18.875
-32.875,18.875
-29.875,17.375
-29.783093,17.399334
-29.625,17.625
-29.384842,22.067598
-29.204412,25.280667
-29.1425,24.3579
-29.125,20.875
-29.125,22.625
-29.125,19.375
-29.125,23.875
-29.125,18.875
-29.116239,24.538019
-29.103741,24.409263
-29.0886,19.511425
-29.00507,19.01087
-28.875,24.875
-28.875,17.125
-28.875,23.625
-28.875,24.625
-28.875,24.875
-28.875,20.625
-28.875,23.125
-28.828901,24.827693
-28.756507,20.781387
-28.751278,20.66234
-28.708673,20.880673
-28.704983,20.896963
-28.627522,20.342768
-28.626568,20.301782
-28.625,20.875
-28.625,24.625
-28.625,24.125
-28.625,24.875
-28.625,24.875
-28.625,19.875
-28.625,24.875
-28.625,16.875
-28.625,24.125
-28.625,24.875
-28.625,24.625
-28.625,20.875
-28.625,19.625
-28.625,20.375
-28.620678,20.273285
-28.607738,20.187805
-28.595865,20.124428
-28.563728,24.768028
-28.562438,22.488511
-28.534952,24.270716
-28.5262,20.961661
-28.4856,19.7433
-28.419295,21.61859
-28.375,19.875
-28.375,20.375
-28.375,17.125
-28.375,19.625
-28.375,17.125
-28.375,20.125
-28.375,17.125
-28.375,17.125
-28.375,24.375
-28.2,22.25
-28.125,24.625
-28.099389,22.559194
-27.996206,26.013842
-27.91113,22.864231
-27.875,22.875
-27.8302,25.8982
-27.753133,23.040387
-27.737844,23.046777
-27.663748,17.779494
-27.663167,17.781217
-27.625,24.625
-27.625,25.375
-27.625,25.625
-27.6033,18.9939
-27.466667,23.416667
-27.4608,23.4486
-27.375,26.125
-27.375,25.875
-27.375,23.375
-27.375,26.125
-27.375,26.125
-27.375,25.875
-27.363056,18.5975
-27.335956,18.565462
-27.125,22.625
-27.125,25.375
-27.125,24.125
-26.984257,20.783846
-26.982664,20.781483
-26.93171,20.66087
-26.928064,24.700873
-26.924047,24.68572
-26.870344,17.366722
-26.83005,26.68481
-26.783333,20.633333
